===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.4100 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8351 | 0.8351
4.0000 | 0.0100 | 15.0000 | 10.0000 | 0.4100 | 102.0000 | 97.3819 | 0.0128 | 86.0000 | 85.3557 | 0.0072 | 192.0000 | 187.3819 | 0.0128 | 1.7827 | 1.7020 | 0.0128 | 1.5030 | 1.4918 | 0.0071 | 3.3556 | 3.2749 | 0.0128 | 0.0109 | 0.0109 | 0.8351 | 0.8351
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.4100 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8351 | 0.8351
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.4100 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8351 | 0.8351
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.5100 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.5100 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.5100 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
4.0000 | 0.0100 | 15.0000 | 10.0000 | 0.5100 | 102.0000 | 261.3223 | 0.4426 | 86.0000 | 87.7119 | 0.0190 | 192.0000 | 351.3223 | 0.4426 | 1.7827 | 4.5672 | 0.4432 | 1.5030 | 1.5330 | 0.0191 | 3.3556 | 6.1401 | 0.4432 | 0.3014 | 0.3018 | 0.8836 | 0.8836
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.5100 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.5100 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.6100 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.6100 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.6100 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
4.0000 | 0.0100 | 15.0000 | 10.0000 | 0.6100 | 102.0000 | 261.3223 | 0.4426 | 86.0000 | 87.7119 | 0.0190 | 192.0000 | 351.3223 | 0.4426 | 1.7827 | 4.5672 | 0.4432 | 1.5030 | 1.5330 | 0.0191 | 3.3556 | 6.1401 | 0.4432 | 0.3014 | 0.3018 | 0.8836 | 0.8836
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.6100 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
